번호	분류	난이도	질문 시나리오	기대 검색 문서	정답에 포함되어야 할 핵심 요소
1	낙반/중대재해	상	광산에서 작업자가 낙반으로 사망한 경우 사업주나 경영책임자가 확인해야 할 의무는 무엇인가?	중대재해처벌법, 중대재해처벌법 시행령, 산업안전보건법, 광산안전법, 광산안전기술기준, 안전보건관리체계 구축 가이드북	중대산업재해 해당 가능성, 경영책임자 안전보건 확보의무, 안전보건관리체계 구축·이행 점검, 사고 원인 조사, 재발방지대책, 작업중지·대피, 낙반 위험 점검, 관련 법령·지침 근거 제시
2	낙반/지보	상	채굴 작업 중 지보재가 변형되고 갱도 바닥에 낙석 흔적이 있는데, 작업 재개 전 어떤 점검 절차를 밟아야 해?	광산 안전 지침, 광산안전기술기준, 위험성평가 안내서	지보 상태 확인, 낙반 위험성 재평가, 보강 작업, 작업허가/승인, 재해 위험 제거 전 작업 금지, 점검 기록
3	발파	중	발파 작업 전에 현장 관리자가 작업자와 주변 설비를 대상으로 확인해야 할 안전 체크리스트를 알려줘.	광산 안전 지침, 광산안전기술기준, 산업안전보건법	발파 계획 확인, 대피 범위 설정, 경보/신호, 출입 통제, 화약류 취급자 확인, 불발 여부 확인, 보호구 착용
4	발파/불발	상	발파 후 불발이 의심되는 상황에서 굴진 작업자가 바로 접근하려고 하는데 관리자는 어떤 조치를 해야 해?	광산 안전 지침, 광산안전기술기준, 광산안전법	접근 금지, 대기 시간 준수, 발파 책임자 확인, 불발 처리 절차, 출입 통제, 작업 재개 승인, 사고 예방 교육
5	환기	중	갱내 작업을 시작하기 전에 환기 상태가 충분한지 관리자가 확인해야 할 기준과 절차는 뭐야?	광산 안전 지침, 광산안전기술기준, 산업안전보건법	환기설비 가동 확인, 풍량/풍속 점검, 유해가스 측정, 산소 농도 확인, 이상 시 작업중지, 기록 관리
6	환기/비상	상	정전으로 주 환기설비가 멈췄을 때 갱내 작업자를 어떻게 대피시키고 작업 재개는 언제 판단해야 해?	광산 안전 지침, 광산안전기술기준, 광산안전법	즉시 작업중지, 비상 연락, 대피 유도, 보조 환기 확인, 가스 측정, 설비 복구 후 안전 확인, 재개 승인
7	유해가스	중	메탄가스 농도가 평소보다 높게 측정됐을 때 현장 관리자는 어떤 순서로 조치해야 해?	광산 안전 지침, 광산안전기술기준, 산업안전보건법	가스 농도 측정, 기준 초과 여부, 점화원 차단, 작업중지, 대피, 환기 강화, 재측정, 보고
8	유해가스/산소결핍	상	폐갱도 인근에서 산소 농도 저하와 일산화탄소 가능성이 의심될 때 작업 투입 전에 무엇을 확인해야 해?	광산 안전 지침, 산업안전보건법, 광산안전기술기준	산소/CO 등 측정, 밀폐공간 위험 확인, 환기, 감시인 배치, 구조장비, 보호구, 작업허가, 비상구조 계획
9	운반차량	중	갱내 운반차량과 보행 작업자가 같은 통로를 이용할 때 충돌을 막기 위한 관리 기준은 뭐야?	광산 안전 지침, 광산안전기술기준, 산업안전보건법	동선 분리, 속도 제한, 신호수/경보장치, 조명, 후진 경보, 통행 규칙, 교육, 점검
10	운반차량/경사로	상	경사 갱도에서 광차 또는 운반장비가 미끄러질 위험이 있을 때 작업 전 점검해야 할 항목을 알려줘.	광산 안전 지침, 광산안전기술기준, 위험성평가 안내서	제동장치, 연결장치, 궤도/노면 상태, 적재 중량, 경사로 통제, 이탈 방지, 비상정지, 작업 전 점검 기록
11	장비정비	중	컨베이어 벨트 정비 중 끼임 사고를 막으려면 정비 전 관리자가 무엇을 확인해야 해?	산업안전보건법, 광산 안전 지침, 광산안전기술기준	전원 차단, 잠금/표지, 불시 가동 방지, 잔류에너지 제거, 방호장치, 정비 절차, 작업자 교육
12	장비정비/전기	상	갱내 전기설비를 점검해야 하는데 습기가 많고 누전 우려가 있어. 감전 예방 조치는 어떻게 세워야 해?	산업안전보건법, 광산안전기술기준, 광산 안전 지침	전원 차단, 절연 상태, 접지, 누전차단기, 방폭/방수 설비, 보호구, 출입 통제, 자격자 작업
13	보호구	하	작업자가 안전모와 방진마스크를 착용하지 않고 갱내 작업장에 들어가려 할 때 관리자는 어떻게 해야 해?	산업안전보건법, 광산 안전 지침, 안전보건관리체계 구축 가이드북	보호구 착용 의무, 미착용자 작업 제한, 지급/착용 상태 확인, 교육, 관리감독자 확인, 기록
14	보호구/호흡보호	중	분진이 많은 굴진 작업에서 방진마스크를 어떤 기준으로 지급하고 착용 상태를 확인해야 해?	산업안전보건법, 광산 안전 지침, 광산안전기술기준	분진 위험 확인, 적정 보호구 선정, 밀착 착용, 교체 주기, 교육, 작업 중 착용 점검, 건강장해 예방
15	안전교육	중	신규 작업자를 갱내 작업에 투입하기 전 반드시 교육해야 할 광산 안전 항목은 뭐야?	산업안전보건법, 광산 안전 지침, 안전보건관리체계 구축 가이드북	신규채용 교육, 작업위험, 대피로, 유해가스, 발파/낙반 위험, 보호구, 비상연락, 교육 기록
16	안전교육/특별작업	중	발파 보조 작업에 처음 투입되는 근로자에게 일반 안전교육 외에 어떤 특별 교육이 필요해?	산업안전보건법, 광산안전기술기준, 광산 안전 지침	작업별 위험요인, 발파 신호, 대피 절차, 화약류 접근 제한, 불발 대응, 작업지휘 체계, 교육 이수 확인
