case_id	split	question	expected_primary_domain	predicted_primary_domain	primary_correct	expected_secondary_domains	predicted_secondary_domains	secondary_hit_count	secondary_expected_count	required_signals	predicted_signals	signal_hit_count	signal_expected_count	expected_stage	predicted_stage	stage_correct	required_requested_outputs	predicted_requested_outputs	requested_output_hit_count	requested_output_expected_count	expected_should_clarify	predicted_should_clarify	ambiguity_correct	clarification_question	search_query_count	search_queries	forbidden_dominant_topics	note
D001	development	우천 뒤 발파공에 물이 찼는데 장약 전에 무엇을 확인하고 어떤 순서로 조치해야 하나?	발파·불발·화약류	발파·불발·화약류	1	[]	[]	0	0	"[""우천"", ""발파공 침수""]"	"[""발파"", ""우천"", ""발파공 침수"", ""화약류 습윤""]"	2	2	작업 전	작업 전	1	"[""점검항목"", ""조치 순서""]"	"[""조치 순서"", ""점검항목""]"	2	2	0	0	1		3	"[""우천 뒤 발파공에 물이 찼는데 장약 전에 무엇을 확인하고 어떤 순서로 조치해야 하나?"", ""발파·불발·화약류 발파 우천 발파공 침수 화약류 습윤 작업 전"", ""발파·불발·화약류 발파 우천 발파공 침수 화약류 습윤 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	"[""불발""]"	정식 문장
D002	development	발파 끝나고 잔류약 같은 게 보여. 가까이 가도 돼?	발파·불발·화약류	발파·불발·화약류	1	[]	[]	0	0	"[""불발"", ""잔류 화약류""]"	"[""발파"", ""불발"", ""잔류 화약류""]"	2	2	작업 후	작업 후	1	"[""작업 가능 여부 판단"", ""즉시 조치""]"	"[""작업 가능 여부 판단"", ""즉시 조치""]"	2	2	0	0	1		2	"[""발파 끝나고 잔류약 같은 게 보여. 가까이 가도 돼?"", ""발파·불발·화약류 발파 불발 잔류 화약류 작업 후""]"	"[""우천""]"	구어체
D003	development	강우중 발파 시작 직전 낙뢰도 걱정되는데 관련 근거와 예방대책 알려줘	발파·불발·화약류	발파·불발·화약류	1	[]	[]	0	0	"[""우천"", ""낙뢰""]"	"[""발파"", ""우천"", ""낙뢰""]"	2	2	작업 시작 직전	작업 시작 직전	1	"[""공식 법령·지침 근거"", ""예방대책""]"	"[""공식 법령·지침 근거"", ""예방대책""]"	2	2	0	0	1		4	"[""강우중 발파 시작 직전 낙뢰도 걱정되는데 관련 근거와 예방대책 알려줘"", ""발파·불발·화약류 발파 우천 낙뢰 작업 시작 직전"", ""발파·불발·화약류 발파 우천 낙뢰 공식 법령 지침 근거 문서 chunk_id 위험 예방대책 개선조치"", ""발파·불발·화약류 발파 우천 낙뢰 공식 법령 지침""]"	"[""불발""]"	띄어쓰기 변형
D004	development	장약 전에 뇌관이 젖은 것 같음. 계속 해도 됨? 기록도 남겨야 해?	발파·불발·화약류	발파·불발·화약류	1	[]	"[""사고보고·기록·중대재해 대응""]"	0	0	"[""화약류 습윤""]"	"[""발파"", ""화약류 습윤"", ""기록""]"	1	1	작업 전	작업 전	1	"[""작업중지 여부"", ""작업 재개 조건"", ""기록관리""]"	"[""기록관리"", ""작업 가능 여부 판단"", ""작업 재개 조건"", ""작업중지 여부""]"	3	3	0	0	1		3	"[""장약 전에 뇌관이 젖은 것 같음. 계속 해도 됨? 기록도 남겨야 해?"", ""발파·불발·화약류 사고보고·기록·중대재해 대응 발파 화약류 습윤 기록 작업 전"", ""발파·불발·화약류 발파 화약류 습윤 기록 점검 조치 보고 작업 재개 승인 기록 위험 제거 재측정 책임자 확인 작업 재개 승인""]"	"[""불발""]"	복수 요청
D005	development	발파 작업 전 위험 확인과 대처방안을 수입하려면 실제 사고사례도 봐야 하나?	발파·불발·화약류	발파·불발·화약류	1	[]	[]	0	0	"[""발파""]"	"[""발파"", ""사고""]"	1	1	작업 전	작업 전	1	"[""점검항목"", ""예방대책"", ""공식 사고사례""]"	"[""점검항목"", ""공식 사고사례"", ""예방대책""]"	3	3	0	0	1		4	"[""발파 작업 전 위험 확인과 대처방안을 수입하려면 실제 사고사례도 봐야 하나?"", ""발파·불발·화약류 발파 사고 작업 전"", ""발파·불발·화약류 발파 사고 안전 점검 확인사항 위험 예방대책 개선조치"", ""발파·불발·화약류 발파 사고 공식 사고사례""]"	[]	허용 오타
D006	development	폭약 쪽이 이상하긴 한데 젖은 건지 손상된 건지 모르겠어. 먼저 뭘 해야 해?	발파·불발·화약류	발파·불발·화약류	1	[]	[]	0	0	"[""화약류 습윤""]"	"[""발파"", ""화약류 습윤""]"	1	1	이상징후 발견 직후	이상징후 발견 직후	1	"[""즉시 조치"", ""조치 순서""]"	"[""조치 순서"", ""즉시 조치"", ""점검항목""]"	2	2	1	1	1	이상이 확인된 대상이 화약류·뇌관·점화설비 중 무엇이며 젖음과 손상 중 어떤 징후입니까?	3	"[""폭약 쪽이 이상하긴 한데 젖은 건지 손상된 건지 모르겠어. 먼저 뭘 해야 해?"", ""발파·불발·화약류 발파 화약류 습윤 이상징후 발견 직후"", ""발파·불발·화약류 발파 화약류 습윤 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	"[""불발""]"	원인 모호
D007	development	정전으로 환기팬이 멈추고 가스 측정값도 오르면 관리자는 무엇부터 지시해야 하나?	환기·메탄·유해가스·산소부족	환기·메탄·유해가스·산소부족	1	"[""전기·감전·LOTO""]"	"[""전기·감전·LOTO""]"	1	1	"[""환기 정지"", ""전원 상실"", ""가스 상승""]"	"[""환기 정지"", ""전원 상실"", ""가스 상승""]"	3	3	작업 중	작업 중	1	"[""조치 순서"", ""사업주·관리자 대응""]"	"[""조치 순서"", ""사업주·관리자 대응"", ""점검항목""]"	2	2	0	0	1		3	"[""정전으로 환기팬이 멈추고 가스 측정값도 오르면 관리자는 무엇부터 지시해야 하나?"", ""환기·메탄·유해가스·산소부족 전기·감전·LOTO 환기 정지 전원 상실 가스 상승 작업 중"", ""환기·메탄·유해가스·산소부족 환기 정지 전원 상실 가스 상승 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	[]	복합 위험
D008	development	갱내 공기가 답답하고 산소가 모자란 것 같아. 사람부터 빼야 함?	환기·메탄·유해가스·산소부족	환기·메탄·유해가스·산소부족	1	[]	[]	0	0	"[""산소 부족""]"	"[""산소 부족""]"	1	1	이상징후 발견 직후	이상징후 발견 직후	1	"[""대피·출입통제"", ""즉시 조치""]"	"[""조치 순서"", ""즉시 조치"", ""대피·출입통제""]"	2	2	0	0	1		3	"[""갱내 공기가 답답하고 산소가 모자란 것 같아. 사람부터 빼야 함?"", ""환기·메탄·유해가스·산소부족 산소 부족 이상징후 발견 직후"", ""환기·메탄·유해가스·산소부족 산소 부족 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록""]"	[]	짧은 현장 표현
D009	development	메탄 농도가 올라간 뒤 환기를 복구했는데 다시 들어가기 전 뭘 재측정하고 기록해야 하나?	환기·메탄·유해가스·산소부족	환기·메탄·유해가스·산소부족	1	[]	"[""사고보고·기록·중대재해 대응""]"	0	0	"[""메탄"", ""가스 상승""]"	"[""가스 상승"", ""메탄"", ""작업 재개"", ""기록""]"	2	2	작업 재개 전	작업 재개 전	1	"[""작업 재개 조건"", ""점검항목"", ""기록관리""]"	"[""점검항목"", ""작업 재개 조건"", ""기록관리""]"	3	3	0	0	1		3	"[""메탄 농도가 올라간 뒤 환기를 복구했는데 다시 들어가기 전 뭘 재측정하고 기록해야 하나?"", ""환기·메탄·유해가스·산소부족 사고보고·기록·중대재해 대응 가스 상승 메탄 작업 재개 기록 작업 재개 전"", ""환기·메탄·유해가스·산소부족 가스 상승 메탄 작업 재개 기록 안전 점검 확인사항 위험 제거 재측정 책임자 확인 작업 재개 승인 점검 조치 보고 작업 재개 승인 기록""]"	[]	재개 조건
D010	development	환기설비 점검전 전기 차단이랑 가스 확인 순서, 근거까지 알려줘	환기·메탄·유해가스·산소부족	환기·메탄·유해가스·산소부족	1	"[""전기·감전·LOTO""]"	"[""전기·감전·LOTO""]"	1	1	"[""환기 정지"", ""전원 차단""]"	"[""환기 정지"", ""전기설비"", ""전원 차단""]"	2	2	점검·정비 전	점검·정비 전	1	"[""조치 순서"", ""공식 법령·지침 근거""]"	"[""조치 순서"", ""점검항목"", ""공식 법령·지침 근거""]"	2	2	0	0	1		4	"[""환기설비 점검전 전기 차단이랑 가스 확인 순서, 근거까지 알려줘"", ""환기·메탄·유해가스·산소부족 전기·감전·LOTO 환기 정지 전기설비 전원 차단 점검·정비 전"", ""환기·메탄·유해가스·산소부족 환기 정지 전기설비 전원 차단 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항 공식 법령 지침 근거 문서 chunk_id"", ""환기·메탄·유해가스·산소부족 환기 정지 전기설비 전원 차단 공식 법령 지침""]"	[]	복합 점검
