chunk_id,source_file,chunk_index,char_count,preview
chunk_00001,01_중대재해_처벌_등에_관한_법률.txt,1,1500,===== PAGE 1 ===== 법제처                                                            1                                     
chunk_00002,01_중대재해_처벌_등에_관한_법률.txt,2,1499,제2조에 따른 소상공인의 사업 또는 사업장 및 이에 준하는 비영 리시설과 「교육시설 등의 안전 및 유지관리 등에 관한 법률」 제2조제1호에 따른 교육시설은 제외한다. 가. 「실내공기질 관리법」 제3조제1항의 시설(「
chunk_00003,01_중대재해_처벌_등에_관한_법률.txt,3,1464,"전보건에 관한 업무를 담당하 는 사람 나. 중앙행정기관의 장, 지방자치단체의 장, 「지방공기업법」에 따른 지방공기업의 장, 「공공기관의 운영에 관한 법률」 제4조부터 제6조까지의 규정에 따라 지정된 공공기관의 장 제"
chunk_00004,01_중대재해_처벌_등에_관한_법률.txt,4,1500,"자를 벌하는 외에 그 법인 또는 기관에 다음 각 호의 구분에 따른 벌금형을 과(科)한다. 다만, 법인 또는 기관이 그 위반행위를 방지하기 위하여 해당 업무에 관하여 상당한 주의와 감독을 게을리하지 아니 한 경우에는 "
chunk_00005,01_중대재해_처벌_등에_관한_법률.txt,5,1498,"조치 ③ 사업주 또는 경영책임자등은 사업주나 법인 또는 기관이 공중이용시설 또는 공중교통수단과 관련하여 제3자에 게 도급, 용역, 위탁 등을 행한 경우에는 그 이용자 또는 그 밖의 사람의 생명, 신체의 안전을 위하여"
chunk_00006,01_중대재해_처벌_등에_관한_법률.txt,6,1500,"조의2에 따라 피해자 또는 그 법정대리인(피해자가 사망하거나 진술할 수 없는 경우에는 그 배우자ㆍ직계친족ㆍ형제자매를 포함한다)을 증인으로 신문할 수 있다. ② 이 법 위반 여부에 관한 형사재판에서 법원은 검사, 피고"
chunk_00007,01_중대재해_처벌_등에_관한_법률.txt,7,389,미만인 사업 또는 사업장(건설업의 경우에는 공사금액 50억원 미만의 공사)에 대해서는 공포 후 3년이 경 과한 날부터 시행한다. ===== PAGE 5 ===== 법제처                          
chunk_00008,02_중대재해처벌법_시행령.txt,1,1500,===== PAGE 1 ===== 법제처                                                            1                                     
chunk_00009,02_중대재해처벌법_시행령.txt,2,1500,도터널(특별시 및 광역시 외의 지역 에 있는 철도터널로 한정한다) 마. 다음의 시설 중 개별 사업장 면적이 2천제곱미터 이상인 시설 1) 「석유 및 석유대체연료 사업법 시행령」 제2조제3호의 주유소 2) 「액화석유가
chunk_00010,02_중대재해처벌법_시행령.txt,3,1469,"다. 그 밖에 안전보건관리체계 구축 등을 위해 필요한 사항으로서 고용노동부장관이 정하여 고시하는 사항 5. 「산업안전보건법」 제15조, 제16조 및 제62조에 따른 안전보건관리책임자, 관리감독자 및 안전보건총괄책임자"
chunk_00011,02_중대재해처벌법_시행령.txt,4,1499,"다. 건설업 및 조선업의 경우 도급, 용역, 위탁 등을 받는 자의 안전ㆍ보건을 위한 공사기간 또는 건조기간에 관한 기준 제5조(안전ㆍ보건 관계 법령에 따른 의무이행에 필요한 관리상의 조치) ① 법 제4조제1항제4호에"
chunk_00012,02_중대재해처벌법_시행령.txt,5,1500,한 법인 또는 기관을 대상으로 안전보건교육을 이수해야 할 교 육대상자를 확정하고 안전보건교육 실시일 30일 전까지 다음 각 호의 사항을 해당 교육대상자에게 통보해야 한다. 1. 안전보건교육을 실시하는 안전보건교육기관
chunk_00013,02_중대재해처벌법_시행령.txt,6,1500,확보ㆍ유지 나. 유해ㆍ위험요인의 점검과 위험징후 발생 시 대응 다. 그 밖에 원료ㆍ제조물 관련 안전ㆍ보건 관리를 위해 기후에너지환경부장관이 정하여 고시하는 사항 3. 별표 5에서 정하는 원료 또는 제조물로 인한 중대
chunk_00014,02_중대재해처벌법_시행령.txt,7,1500,치의 구체적인 사항은 다음 각 호와 같다. 1. 다음 각 목의 사항을 이행하는 데 필요한 인력을 갖추어 중대시민재해 예방을 위한 업무를 수행하도록 할 것 가. 법 제9조제2항제4호의 안전ㆍ보건 관계 법령에 따른 안전
chunk_00015,02_중대재해처벌법_시행령.txt,8,1499,"인력을 배치하거나 예산을 추가로 편성ㆍ집행하도록 하는 등 중대시 민재해 예방에 필요한 조치를 할 것 7. 중대시민재해 예방을 위해 다음 각 목의 사항이 포함된 업무처리절차를 마련하여 이행할 것. 다만, 철도운영자가 "
chunk_00016,02_중대재해처벌법_시행령.txt,9,1499,"정한 기관 등에 위탁하여 점검하는 경우를 포함한다. 이하 이 호에서 같다)하고, 직접 점검하지 않은 경우에는 점검이 끝난 후 지체 없이 점검 결과를 보고받을 것 ===== PAGE 6 ===== 법제처        "
chunk_00017,02_중대재해처벌법_시행령.txt,10,342,"은 제4조, 제5조 및 제8조부터 제11조까지의 규정에 따른 조치 등의 이행에 관한 사항을 서면(「전자문 서 및 전자거래 기본법」 제2조제1호에 따른 전자문서를 포함한다)으로 작성하여 그 조치 등을 이행한 날부터 5"
chunk_00018,03_산업안전보건법.txt,1,1500,===== PAGE 1 ===== 법제처                                                            1                                     
chunk_00019,03_산업안전보건법.txt,2,1499,"과반수로 조직된 노동조합이 있는 경우에는 그 노동조합을, 근로자의 과반수로 조직된 노동조합이 없는 경우에는 근로자의 과반수를 대표하는 자를 말한다. 6. “도급”이란 명칭에 관계없이 물건의 제조ㆍ건설ㆍ수리 또는 서비"
chunk_00020,03_산업안전보건법.txt,3,1443,"건 정책의 수립 및 집행 2. 산업재해 예방 지원 및 지도 3. 「근로기준법」 제76조의2에 따른 직장 내 괴롭힘 예방을 위한 조치기준 마련, 지도 및 지원 4. 사업주의 자율적인 산업 안전 및 보건 경영체제 확립을"
chunk_00021,03_산업안전보건법.txt,4,1500,"또는 건설을 할 때 이 법과 이 법에 따른 명령 으로 정하는 기준을 지켜야 하고, 발주ㆍ설계ㆍ제조ㆍ수입 또는 건설에 사용되는 물건으로 인하여 발생하는 산업재 해를 방지하기 위하여 필요한 조치를 하여야 한다. 1. 기"
chunk_00022,03_산업안전보건법.txt,5,1500,"④ 고용노동부장관은 산업재해 예방을 위하여 필요하다고 인정할 때에는 사업주, 사업주단체, 그 밖의 관계인에게 필요한 사항을 권고하거나 협조를 요청할 수 있다. ⑤ 고용노동부장관은 산업재해 예방을 위하여 중앙행정기관의"
chunk_00023,03_산업안전보건법.txt,6,1494,"국가법령정보센터 산업안전보건법 ④ 제1항 및 제2항에 따른 공표의 절차 및 방법, 그 밖에 필요한 사항은 고용노동부령으로 정한다. 제10조의2(안전보건 현황 공시) ① 대통령령으로 정하는 수 이상의 근로자를 사용하는"
chunk_00024,03_산업안전보건법.txt,7,1499,제1절 안전보건관리체제 제14조(이사회 보고 및 승인 등) ① 「상법」 제170조에 따른 주식회사 중 대통령령으로 정하는 회사의 대표이사는 대통 령령으로 정하는 바에 따라 매년 회사의 안전 및 보건에 관한 계획을 수
