eval_id	source_question_id	category	difficulty	question	expected_document_raw	expected_document_patterns	expected_core_elements_raw	expected_core_terms	gold_set_sha256	rank1_document	rank1_chunk_id	rank1_distance	rank2_document	rank2_chunk_id	rank2_distance	rank3_document	rank3_chunk_id	rank3_distance	rank4_document	rank4_chunk_id	rank4_distance	rank5_document	rank5_chunk_id	rank5_distance	first_expected_document_rank	document_hit_at_1	document_hit_at_3	document_hit_at_5	reciprocal_rank	element_coverage_at_1	element_coverage_at_3	element_coverage_at_5	unique_document_count_top5	metadata_completeness_top5	auto_review_status	auto_review_reason
R001	3	발파·불발	중	발파 작업 전에 현장 관리자가 작업자와 주변 설비를 대상으로 확인해야 할 안전 체크리스트를 알려줘.	광산 안전 지침, 광산안전기술기준, 산업안전보건법	"[{""raw"":""광산 안전 지침"",""normalized"":""광산안전지침"",""aliases"":[""광산안전업무처리지침""],""tokens"":[""광산"",""안전"",""지침""]},{""raw"":""광산안전기술기준"",""normalized"":""광산안전기술기준"",""aliases"":[],""tokens"":[""광산안전기술기준""]},{""raw"":""산업안전보건법"",""normalized"":""산업안전보건법"",""aliases"":[],""tokens"":[""산업안전보건법""]}]"	발파 계획 확인, 대피 범위 설정, 경보/신호, 출입 통제, 화약류 취급자 확인, 불발 여부 확인, 보호구 착용	"[{""term"":""발파 계획 확인"",""normalized"":""발파계획확인"",""aliases"":[""발파 계획 확인""]},{""term"":""대피 범위 설정"",""normalized"":""대피범위설정"",""aliases"":[""대피 범위 설정""]},{""term"":""경보"",""normalized"":""경보"",""aliases"":[""경보""]},{""term"":""신호"",""normalized"":""신호"",""aliases"":[""신호""]},{""term"":""출입 통제"",""normalized"":""출입통제"",""aliases"":[""출입 통제""]},{""term"":""화약류 취급자 확인"",""normalized"":""화약류취급자확인"",""aliases"":[""화약류 취급자 확인""]},{""term"":""불발 여부 확인"",""normalized"":""불발여부확인"",""aliases"":[""불발 여부 확인""]},{""term"":""보호구 착용"",""normalized"":""보호구착용"",""aliases"":[""보호구 착용""]}]"	F950A1505743A4B3607F0EC3BC60D8ED477FB6C3627F14FCD156BF7C81B7D076	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00306	0.9546725809228057	08_광산안전법_시행규칙.txt	chunk_00284	0.7088704182553558	10_광산안전업무_처리지침_2025-35_latest.txt	chunk_00356	0.980976840122211	중대재해처벌법_해설서.pdf	chunk_00712	0.6287109851837158	06_광산안전법.txt	chunk_00261	0.9378854882123852	1	1	1	1	1.0	0.0	0.0	0.125	5	0.75	REVIEW	Element Coverage@5<0.4; 문서명 일치·핵심 요소 저포함
R002	4	발파·불발	상	발파 후 불발이 의심되는 상황에서 굴진 작업자가 바로 접근하려고 하는데 관리자는 어떤 조치를 해야 해?	광산 안전 지침, 광산안전기술기준, 광산안전법	"[{""raw"":""광산 안전 지침"",""normalized"":""광산안전지침"",""aliases"":[""광산안전업무처리지침""],""tokens"":[""광산"",""안전"",""지침""]},{""raw"":""광산안전기술기준"",""normalized"":""광산안전기술기준"",""aliases"":[],""tokens"":[""광산안전기술기준""]},{""raw"":""광산안전법"",""normalized"":""광산안전법"",""aliases"":[],""tokens"":[""광산안전법""]}]"	접근 금지, 대기 시간 준수, 발파 책임자 확인, 불발 처리 절차, 출입 통제, 작업 재개 승인, 사고 예방 교육	"[{""term"":""접근 금지"",""normalized"":""접근금지"",""aliases"":[""접근 금지""]},{""term"":""대기 시간 준수"",""normalized"":""대기시간준수"",""aliases"":[""대기 시간 준수""]},{""term"":""발파 책임자 확인"",""normalized"":""발파책임자확인"",""aliases"":[""발파 책임자 확인""]},{""term"":""불발 처리 절차"",""normalized"":""불발처리절차"",""aliases"":[""불발 처리 절차""]},{""term"":""출입 통제"",""normalized"":""출입통제"",""aliases"":[""출입 통제""]},{""term"":""작업 재개 승인"",""normalized"":""작업재개승인"",""aliases"":[""작업 재개 승인""]},{""term"":""사고 예방 교육"",""normalized"":""사고예방교육"",""aliases"":[""사고 예방 교육""]}]"	F950A1505743A4B3607F0EC3BC60D8ED477FB6C3627F14FCD156BF7C81B7D076	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00306	0.6846511363983154	08_광산안전법_시행규칙.txt	chunk_00284	0.7244705783714205	10_광산안전업무_처리지침_2025-35_latest.txt	chunk_00346	0.9582219341578856	중대재해처벌법_해설서.pdf	chunk_00712	0.5903894305229187	06_광산안전법.txt	chunk_00256	0.9047361784569238	1	1	1	1	1.0	0.0	0.0	0.0	5	0.75	REVIEW	Element Coverage@5<0.4; 문서명 일치·핵심 요소 저포함
R003	35	발파·불발	중	불발 의심 구역에서 작업 재개 전 관리자가 확인해야 할 최소 기준은 무엇인가?	불발, 발파, 재개, 작업허가	"[{""raw"":""불발"",""normalized"":""불발"",""aliases"":[],""tokens"":[""불발""]},{""raw"":""발파"",""normalized"":""발파"",""aliases"":[],""tokens"":[""발파""]},{""raw"":""재개"",""normalized"":""재개"",""aliases"":[],""tokens"":[""재개""]},{""raw"":""작업허가"",""normalized"":""작업허가"",""aliases"":[],""tokens"":[""작업허가""]}]"	불발 확인, 대기시간, 책임자 승인, 재개 조건, 기록	"[{""term"":""불발 확인"",""normalized"":""불발확인"",""aliases"":[""불발 확인""]},{""term"":""대기시간"",""normalized"":""대기시간"",""aliases"":[""대기시간""]},{""term"":""책임자 승인"",""normalized"":""책임자승인"",""aliases"":[""책임자 승인""]},{""term"":""재개 조건"",""normalized"":""재개조건"",""aliases"":[""재개 조건""]},{""term"":""기록"",""normalized"":""기록"",""aliases"":[""기록""]}]"	F950A1505743A4B3607F0EC3BC60D8ED477FB6C3627F14FCD156BF7C81B7D076	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00306	0.7619081581505514	08_광산안전법_시행규칙.txt	chunk_00284	0.7697550555602831	10_광산안전업무_처리지침_2025-35_latest.txt	chunk_00356	0.8427102908448402	중대재해처벌법_해설서.pdf	chunk_00712	0.6489112377166748	06_광산안전법.txt	chunk_00256	0.9215984162434491	0	0	0	0	0.0	0.0	0.2	0.2	5	0.75	REVIEW	기대 문서 Hit@5=0; Element Coverage@5<0.4
R004	5	환기·메탄·유해가스·산소부족	중	갱내 작업을 시작하기 전에 환기 상태가 충분한지 관리자가 확인해야 할 기준과 절차는 뭐야?	광산 안전 지침, 광산안전기술기준, 산업안전보건법	"[{""raw"":""광산 안전 지침"",""normalized"":""광산안전지침"",""aliases"":[""광산안전업무처리지침""],""tokens"":[""광산"",""안전"",""지침""]},{""raw"":""광산안전기술기준"",""normalized"":""광산안전기술기준"",""aliases"":[],""tokens"":[""광산안전기술기준""]},{""raw"":""산업안전보건법"",""normalized"":""산업안전보건법"",""aliases"":[],""tokens"":[""산업안전보건법""]}]"	환기설비 가동 확인, 풍량/풍속 점검, 유해가스 측정, 산소 농도 확인, 이상 시 작업중지, 기록 관리	"[{""term"":""환기설비 가동 확인"",""normalized"":""환기설비가동확인"",""aliases"":[""환기설비 가동 확인""]},{""term"":""풍량"",""normalized"":""풍량"",""aliases"":[""풍량""]},{""term"":""풍속 점검"",""normalized"":""풍속점검"",""aliases"":[""풍속 점검""]},{""term"":""유해가스 측정"",""normalized"":""유해가스측정"",""aliases"":[""유해가스 측정""]},{""term"":""산소 농도 확인"",""normalized"":""산소농도확인"",""aliases"":[""산소 농도 확인""]},{""term"":""이상 시 작업중지"",""normalized"":""이상시작업중지"",""aliases"":[""이상 시 작업중지""]},{""term"":""기록 관리"",""normalized"":""기록관리"",""aliases"":[""기록 관리"",""기록관리"",""기록"",""보관""]}]"	F950A1505743A4B3607F0EC3BC60D8ED477FB6C3627F14FCD156BF7C81B7D076	10_광산안전업무_처리지침_2025-35_latest.txt	chunk_00350	0.6373053789138794	03_산업안전보건법.txt	chunk_00069	0.666175127029419	08_광산안전법_시행규칙.txt	chunk_00287	0.7145553231239319	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00292	0.7497133016586304	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00297	0.7621119618415833	1	1	1	1	1.0	0.14285714285714285	0.2857142857142857	0.2857142857142857	4	0.75	REVIEW	Element Coverage@5<0.4
R005	7	환기·메탄·유해가스·산소부족	중	메탄가스 농도가 평소보다 높게 측정됐을 때 현장 관리자는 어떤 순서로 조치해야 해?	광산 안전 지침, 광산안전기술기준, 산업안전보건법	"[{""raw"":""광산 안전 지침"",""normalized"":""광산안전지침"",""aliases"":[""광산안전업무처리지침""],""tokens"":[""광산"",""안전"",""지침""]},{""raw"":""광산안전기술기준"",""normalized"":""광산안전기술기준"",""aliases"":[],""tokens"":[""광산안전기술기준""]},{""raw"":""산업안전보건법"",""normalized"":""산업안전보건법"",""aliases"":[],""tokens"":[""산업안전보건법""]}]"	가스 농도 측정, 기준 초과 여부, 점화원 차단, 작업중지, 대피, 환기 강화, 재측정, 보고	"[{""term"":""가스 농도 측정"",""normalized"":""가스농도측정"",""aliases"":[""가스 농도 측정""]},{""term"":""기준 초과 여부"",""normalized"":""기준초과여부"",""aliases"":[""기준 초과 여부""]},{""term"":""점화원 차단"",""normalized"":""점화원차단"",""aliases"":[""점화원 차단""]},{""term"":""작업중지"",""normalized"":""작업중지"",""aliases"":[""작업중지"",""작업 중지"",""작업을 중단"",""운전 정지""]},{""term"":""대피"",""normalized"":""대피"",""aliases"":[""대피"",""피난"",""작업자 철수""]},{""term"":""환기 강화"",""normalized"":""환기강화"",""aliases"":[""환기 강화""]},{""term"":""재측정"",""normalized"":""재측정"",""aliases"":[""재측정"",""다시 측정"",""측정값 재확인""]},{""term"":""보고"",""normalized"":""보고"",""aliases"":[""보고""]}]"	F950A1505743A4B3607F0EC3BC60D8ED477FB6C3627F14FCD156BF7C81B7D076	10_광산안전업무_처리지침_2025-35_latest.txt	chunk_00350	0.6190007925033569	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00313	0.6410075426101685	03_산업안전보건법.txt	chunk_00069	0.7160503268241882	08_광산안전법_시행규칙.txt	chunk_00287	0.7171912789344788	중대재해처벌법_해설서.pdf	chunk_00704	0.7286803126335144	1	1	1	1	1.0	0.125	0.125	0.125	5	0.75	REVIEW	Element Coverage@5<0.4; 문서명 일치·핵심 요소 저포함
R006	8	환기·메탄·유해가스·산소부족	상	폐갱도 인근에서 산소 농도 저하와 일산화탄소 가능성이 의심될 때 작업 투입 전에 무엇을 확인해야 해?	광산 안전 지침, 산업안전보건법, 광산안전기술기준	"[{""raw"":""광산 안전 지침"",""normalized"":""광산안전지침"",""aliases"":[""광산안전업무처리지침""],""tokens"":[""광산"",""안전"",""지침""]},{""raw"":""산업안전보건법"",""normalized"":""산업안전보건법"",""aliases"":[],""tokens"":[""산업안전보건법""]},{""raw"":""광산안전기술기준"",""normalized"":""광산안전기술기준"",""aliases"":[],""tokens"":[""광산안전기술기준""]}]"	산소/CO 등 측정, 밀폐공간 위험 확인, 환기, 감시인 배치, 구조장비, 보호구, 작업허가, 비상구조 계획	"[{""term"":""산소"",""normalized"":""산소"",""aliases"":[""산소""]},{""term"":""CO 등 측정"",""normalized"":""co등측정"",""aliases"":[""CO 등 측정""]},{""term"":""밀폐공간 위험 확인"",""normalized"":""밀폐공간위험확인"",""aliases"":[""밀폐공간 위험 확인""]},{""term"":""환기"",""normalized"":""환기"",""aliases"":[""환기"",""통기"",""송풍"",""배기""]},{""term"":""감시인 배치"",""normalized"":""감시인배치"",""aliases"":[""감시인 배치""]},{""term"":""구조장비"",""normalized"":""구조장비"",""aliases"":[""구조장비""]},{""term"":""보호구"",""normalized"":""보호구"",""aliases"":[""보호구""]},{""term"":""작업허가"",""normalized"":""작업허가"",""aliases"":[""작업허가""]},{""term"":""비상구조 계획"",""normalized"":""비상구조계획"",""aliases"":[""비상구조 계획""]}]"	F950A1505743A4B3607F0EC3BC60D8ED477FB6C3627F14FCD156BF7C81B7D076	10_광산안전업무_처리지침_2025-35_latest.txt	chunk_00350	0.601489782333374	08_광산안전법_시행규칙.txt	chunk_00287	0.6105476021766663	03_산업안전보건법.txt	chunk_00069	0.6997765898704529	10_광산안전업무_처리지침_2025-35_latest.txt	chunk_00355	0.719291090965271	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00292	0.7325777411460876	1	1	1	1	1.0	0.1111111111111111	0.2222222222222222	0.2222222222222222	4	0.75	REVIEW	Element Coverage@5<0.4
R007	13	분진·호흡보호·보호구	하	작업자가 안전모와 방진마스크를 착용하지 않고 갱내 작업장에 들어가려 할 때 관리자는 어떻게 해야 해?	산업안전보건법, 광산 안전 지침, 안전보건관리체계 구축 가이드북	"[{""raw"":""산업안전보건법"",""normalized"":""산업안전보건법"",""aliases"":[],""tokens"":[""산업안전보건법""]},{""raw"":""광산 안전 지침"",""normalized"":""광산안전지침"",""aliases"":[""광산안전업무처리지침""],""tokens"":[""광산"",""안전"",""지침""]},{""raw"":""안전보건관리체계 구축 가이드북"",""normalized"":""안전보건관리체계구축가이드북"",""aliases"":[],""tokens"":[""안전보건관리체계"",""구축"",""가이드북""]}]"	보호구 착용 의무, 미착용자 작업 제한, 지급/착용 상태 확인, 교육, 관리감독자 확인, 기록	"[{""term"":""보호구 착용 의무"",""normalized"":""보호구착용의무"",""aliases"":[""보호구 착용 의무""]},{""term"":""미착용자 작업 제한"",""normalized"":""미착용자작업제한"",""aliases"":[""미착용자 작업 제한""]},{""term"":""지급"",""normalized"":""지급"",""aliases"":[""지급""]},{""term"":""착용 상태 확인"",""normalized"":""착용상태확인"",""aliases"":[""착용 상태 확인""]},{""term"":""교육"",""normalized"":""교육"",""aliases"":[""교육""]},{""term"":""관리감독자 확인"",""normalized"":""관리감독자확인"",""aliases"":[""관리감독자 확인""]},{""term"":""기록"",""normalized"":""기록"",""aliases"":[""기록""]}]"	F950A1505743A4B3607F0EC3BC60D8ED477FB6C3627F14FCD156BF7C81B7D076	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00333	0.8289137075417832	13_2023_새로운_위험성평가_안내서.txt	chunk_00470	0.7529573677136635	05_산업안전보건법_시행규칙.txt	chunk_00199	0.7536897110828528	10_광산안전업무_처리지침_2025-35_latest.txt	chunk_00346	0.7671217167178318	08_광산안전법_시행규칙.txt	chunk_00288	0.8373004012883388	3	0	1	1	0.3333333333333333	0.2857142857142857	0.42857142857142855	0.42857142857142855	5	0.75	CHECK	상위 3개 결과에 대한 추가 확인 권장
R008	14	분진·호흡보호·보호구	중	분진이 많은 굴진 작업에서 방진마스크를 어떤 기준으로 지급하고 착용 상태를 확인해야 해?	산업안전보건법, 광산 안전 지침, 광산안전기술기준	"[{""raw"":""산업안전보건법"",""normalized"":""산업안전보건법"",""aliases"":[],""tokens"":[""산업안전보건법""]},{""raw"":""광산 안전 지침"",""normalized"":""광산안전지침"",""aliases"":[""광산안전업무처리지침""],""tokens"":[""광산"",""안전"",""지침""]},{""raw"":""광산안전기술기준"",""normalized"":""광산안전기술기준"",""aliases"":[],""tokens"":[""광산안전기술기준""]}]"	분진 위험 확인, 적정 보호구 선정, 밀착 착용, 교체 주기, 교육, 작업 중 착용 점검, 건강장해 예방	"[{""term"":""분진 위험 확인"",""normalized"":""분진위험확인"",""aliases"":[""분진 위험 확인""]},{""term"":""적정 보호구 선정"",""normalized"":""적정보호구선정"",""aliases"":[""적정 보호구 선정""]},{""term"":""밀착 착용"",""normalized"":""밀착착용"",""aliases"":[""밀착 착용""]},{""term"":""교체 주기"",""normalized"":""교체주기"",""aliases"":[""교체 주기""]},{""term"":""교육"",""normalized"":""교육"",""aliases"":[""교육""]},{""term"":""작업 중 착용 점검"",""normalized"":""작업중착용점검"",""aliases"":[""작업 중 착용 점검""]},{""term"":""건강장해 예방"",""normalized"":""건강장해예방"",""aliases"":[""건강장해 예방""]}]"	F950A1505743A4B3607F0EC3BC60D8ED477FB6C3627F14FCD156BF7C81B7D076	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00327	1.2162696152901606	13_2023_새로운_위험성평가_안내서.txt	chunk_00473	0.9900792986764371	10_광산안전업무_처리지침_2025-35_latest.txt	chunk_00355	0.8232560039730098	05_산업안전보건법_시행규칙.txt	chunk_00236	1.1449993326417782	중대재해처벌법_해설서.pdf	chunk_00695	0.744957685470581	1	1	1	1	1.0	0.0	0.14285714285714285	0.14285714285714285	5	0.75	REVIEW	Element Coverage@5<0.4; 문서명 일치·핵심 요소 저포함
R009	28	분진·호흡보호·보호구	중	굴진과 파쇄 작업에서 분진 노출을 줄이기 위해 관리자가 작업 전후로 확인해야 할 사항은 뭐야?	산업안전보건법, 광산 안전 지침, 광산안전기술기준	"[{""raw"":""산업안전보건법"",""normalized"":""산업안전보건법"",""aliases"":[],""tokens"":[""산업안전보건법""]},{""raw"":""광산 안전 지침"",""normalized"":""광산안전지침"",""aliases"":[""광산안전업무처리지침""],""tokens"":[""광산"",""안전"",""지침""]},{""raw"":""광산안전기술기준"",""normalized"":""광산안전기술기준"",""aliases"":[],""tokens"":[""광산안전기술기준""]}]"	분진 발생원 관리, 살수/집진, 환기, 방진마스크, 노출 관리, 작업환경 측정 가능성, 건강보호, 교육	"[{""term"":""분진 발생원 관리"",""normalized"":""분진발생원관리"",""aliases"":[""분진 발생원 관리""]},{""term"":""살수"",""normalized"":""살수"",""aliases"":[""살수""]},{""term"":""집진"",""normalized"":""집진"",""aliases"":[""집진""]},{""term"":""환기"",""normalized"":""환기"",""aliases"":[""환기"",""통기"",""송풍"",""배기""]},{""term"":""방진마스크"",""normalized"":""방진마스크"",""aliases"":[""방진마스크""]},{""term"":""노출 관리"",""normalized"":""노출관리"",""aliases"":[""노출 관리""]},{""term"":""작업환경 측정 가능성"",""normalized"":""작업환경측정가능성"",""aliases"":[""작업환경 측정 가능성""]},{""term"":""건강보호"",""normalized"":""건강보호"",""aliases"":[""건강보호""]},{""term"":""교육"",""normalized"":""교육"",""aliases"":[""교육""]}]"	F950A1505743A4B3607F0EC3BC60D8ED477FB6C3627F14FCD156BF7C81B7D076	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00327	1.2673238068502555	10_광산안전업무_처리지침_2025-35_latest.txt	chunk_00355	0.7361527681350708	13_2023_새로운_위험성평가_안내서.txt	chunk_00473	1.0222304218446296	05_산업안전보건법_시행규칙.txt	chunk_00230	1.2047113477147384	08_광산안전법_시행규칙.txt	chunk_00287	0.6651257872581482	1	1	1	1	1.0	0.3333333333333333	0.4444444444444444	0.4444444444444444	5	0.75	CHECK	상위 3개 결과에 대한 추가 확인 권장
R010	2	낙반·붕락·지보	상	채굴 작업 중 지보재가 변형되고 갱도 바닥에 낙석 흔적이 있는데, 작업 재개 전 어떤 점검 절차를 밟아야 해?	광산 안전 지침, 광산안전기술기준, 위험성평가 안내서	"[{""raw"":""광산 안전 지침"",""normalized"":""광산안전지침"",""aliases"":[""광산안전업무처리지침""],""tokens"":[""광산"",""안전"",""지침""]},{""raw"":""광산안전기술기준"",""normalized"":""광산안전기술기준"",""aliases"":[],""tokens"":[""광산안전기술기준""]},{""raw"":""위험성평가 안내서"",""normalized"":""위험성평가안내서"",""aliases"":[""새로운위험성평가안내서""],""tokens"":[""위험성평가"",""안내서""]}]"	지보 상태 확인, 낙반 위험성 재평가, 보강 작업, 작업허가/승인, 재해 위험 제거 전 작업 금지, 점검 기록	"[{""term"":""지보 상태 확인"",""normalized"":""지보상태확인"",""aliases"":[""지보 상태 확인""]},{""term"":""낙반 위험성 재평가"",""normalized"":""낙반위험성재평가"",""aliases"":[""낙반 위험성 재평가""]},{""term"":""보강 작업"",""normalized"":""보강작업"",""aliases"":[""보강 작업""]},{""term"":""작업허가"",""normalized"":""작업허가"",""aliases"":[""작업허가""]},{""term"":""승인"",""normalized"":""승인"",""aliases"":[""승인""]},{""term"":""재해 위험 제거 전 작업 금지"",""normalized"":""재해위험제거전작업금지"",""aliases"":[""재해 위험 제거 전 작업 금지""]},{""term"":""점검 기록"",""normalized"":""점검기록"",""aliases"":[""점검 기록""]}]"	F950A1505743A4B3607F0EC3BC60D8ED477FB6C3627F14FCD156BF7C81B7D076	09_광산안전기술기준_제10차개정_2024-12-19.txt	chunk_00303	0.6320447325706482	11_안전보건관리체계_구축_가이드북.txt	chunk_00415	0.6394725441932678	04_산업안전보건법_시행령.txt	chunk_00104	0.6456007957458496	11_안전보건관리체계_구축_가이드북.txt	chunk_00380	0.6572800874710083	07_광산안전법_시행령.txt	chunk_00267	0.6600775718688965	1	1	1	1	1.0	0.0	0.14285714285714285	0.14285714285714285	4	0.75	REVIEW	Element Coverage@5<0.4; 문서명 일치·핵심 요소 저포함
